iter	MultiClass
0	2.707896255
1	2.70737268
2	2.707176042
3	2.706618718
4	2.706508472
5	2.706417837
6	2.706284195
7	2.705937108
8	2.705655279
9	2.705470441
10	2.705098981
11	2.704655576
12	2.704619262
13	2.704156884
14	2.704097188
15	2.703783277
16	2.703617517
17	2.703189274
18	2.703103309
19	2.702852803
20	2.702383624
21	2.702008326
22	2.701844136
23	2.701568414
24	2.701338096
25	2.701244936
26	2.701149121
27	2.701145499
28	2.700772704
29	2.700627524
30	2.70050089
31	2.700313415
32	2.700183675
33	2.700035479
34	2.699831499
35	2.699373329
36	2.699292619
37	2.699194932
38	2.698792653
39	2.698500946
40	2.698494115
41	2.698242655
42	2.698001545
43	2.697629583
44	2.697441845
45	2.697099151
46	2.697099098
47	2.696841568
48	2.69602565
49	2.695967274
50	2.695624645
51	2.695578025
52	2.69539843
53	2.69487349
54	2.694606244
55	2.694024728
56	2.693741261
57	2.693272419
58	2.693027072
59	2.692556712
60	2.692398756
61	2.692037069
62	2.691858926
63	2.691487263
64	2.691417426
65	2.691274423
66	2.691075813
67	2.690480322
68	2.690265208
69	2.690152861
70	2.689980615
71	2.689614437
72	2.689222313
73	2.689100011
74	2.688839863
75	2.688573636
76	2.688418879
77	2.688161077
78	2.687945046
79	2.687782893
80	2.687448114
81	2.686888749
82	2.686811144
83	2.686615485
84	2.686442972
85	2.686131387
86	2.685880022
87	2.685536784
88	2.685441164
89	2.684901448
90	2.684885782
91	2.68463028
92	2.684294288
93	2.684004743
94	2.68371028
95	2.683519402
96	2.68345335
97	2.682798963
98	2.682330609
99	2.682120592
100	2.681885675
101	2.681737782
102	2.681708493
103	2.681481744
104	2.68124542
105	2.68078428
106	2.680427453
107	2.680399156
108	2.680197887
109	2.679746871
110	2.679594312
111	2.679423178
112	2.679098955
113	2.678852761
114	2.678418788
115	2.678264377
116	2.678049028
117	2.677465681
118	2.677348868
119	2.676982888
120	2.676912023
121	2.676775351
122	2.676689765
123	2.676534847
124	2.676491873
125	2.676294244
126	2.675875022
127	2.675526603
128	2.675372308
129	2.675228725
130	2.675042715
131	2.674851168
132	2.674762193
133	2.674573628
134	2.674203285
135	2.674060393
136	2.673850218
137	2.673713827
138	2.673517567
139	2.673184254
140	2.672938156
141	2.672899447
142	2.672602601
143	2.672166903
144	2.672032399
145	2.671906103
146	2.671705299
147	2.671511556
148	2.671268739
149	2.670760456
150	2.670411675
151	2.670408779
152	2.670265269
153	2.66984749
154	2.669446086
155	2.669197251
156	2.669106485
157	2.668835509
158	2.668604886
159	2.668545451
160	2.668424938
161	2.668203206
162	2.667673776
163	2.667389824
164	2.667019585
165	2.66661336
166	2.666377121
167	2.665989478
168	2.665710247
169	2.665643923
170	2.665611967
171	2.665340516
172	2.665187311
173	2.665068027
174	2.664797799
175	2.664633591
176	2.66443296
177	2.664275444
178	2.663930673
179	2.663664671
180	2.663343537
181	2.663295541
182	2.662950256
183	2.662803637
184	2.662671236
185	2.662333363
186	2.662206717
187	2.661916763
188	2.661831435
189	2.661368718
190	2.661048985
191	2.660878475
