iter	Passed	Remaining
0	43	217474
1	94	236168
2	136	227620
3	183	229243
4	224	224165
5	262	218764
6	303	216827
7	341	213238
8	379	210414
9	415	207116
10	451	204695
11	486	202231
12	519	199365
13	554	197324
14	589	195771
15	627	195422
16	664	194779
17	708	196039
18	753	197664
19	793	197638
20	834	197850
21	876	198332
22	915	198086
23	954	197890
24	996	198394
25	1037	198417
26	1075	198068
27	1111	197456
28	1150	197128
29	1190	197219
30	1221	195873
31	1256	195129
32	1288	193899
33	1320	192939
34	1352	191868
35	1388	191414
36	1422	190796
37	1455	190024
38	1488	189332
39	1518	188302
40	1547	187230
41	1579	186486
42	1612	185931
43	1653	186284
44	1687	185780
45	1720	185256
46	1723	181605
47	1752	180787
48	1785	180367
49	1818	180054
50	1852	179750
51	1883	179180
52	1915	178801
53	1945	178200
54	1975	177640
55	2009	177405
56	2042	177148
57	2074	176752
58	2106	176405
59	2136	175936
60	2168	175558
61	2198	175107
62	2229	174734
63	2266	174769
64	2299	174613
65	2330	174245
66	2363	174030
67	2395	173757
68	2426	173441
69	2462	173398
70	2498	173448
71	2532	173321
72	2564	173086
73	2597	172921
74	2628	172583
75	2659	172276
76	2695	172317
77	2730	172271
78	2761	171996
79	2792	171753
80	2824	171514
81	2854	171229
82	2888	171095
83	2917	170746
84	2935	169723
85	2968	169592
86	3001	169504
87	3031	169238
88	3062	168964
89	3092	168698
90	3124	168535
91	3156	168390
92	3191	168405
93	3225	168325
94	3257	168213
95	3290	168075
96	3328	168223
97	3369	168554
98	3411	168876
99	3452	169182
100	3489	169238
101	3529	169461
102	3567	169608
103	3607	169823
104	3640	169736
105	3679	169879
106	3715	169896
107	3755	170105
108	3794	170245
109	3833	170424
110	3871	170523
111	3908	170580
112	3943	170569
113	3981	170653
114	4016	170634
115	4056	170790
116	4099	171098
117	4138	171225
118	4174	171209
119	4216	171463
120	4253	171529
121	4286	171403
122	4325	171497
123	4361	171501
124	4400	171625
125	4431	171416
126	4470	171545
127	4507	171547
128	4540	171466
129	4574	171376
130	4608	171283
131	4640	171136
132	4679	171224
133	4725	171604
134	4769	171888
135	4811	172094
136	4844	171948
137	4880	171954
138	4921	172101
139	4955	172016
140	4995	172142
141	5055	172963
142	5135	174415
143	5175	174538
144	5234	175255
145	5283	175642
146	5323	175760
147	5362	175787
148	5396	175683
149	5430	175582
150	5462	175418
151	5496	175304
152	5534	175329
153	5568	175228
154	5601	175090
155	5631	174869
156	5660	174616
157	5695	174545
158	5731	174499
159	5771	174584
160	5805	174494
161	5841	174445
162	5874	174325
163	5909	174244
164	5943	174149
165	5982	174211
166	6019	174202
167	6052	174091
168	6089	174075
169	6129	174136
170	6179	174508
171	6229	174863
172	6273	175041
173	6317	175221
174	6361	175385
175	6411	175737
176	6449	175739
177	6494	175922
178	6538	176091
179	6579	176193
180	6621	176304
181	6660	176313
182	6694	176224
183	6729	176145
184	6765	176082
185	6799	175971
186	6832	175867
187	6867	175766
188	6902	175712
189	6941	175735
190	6975	175622
191	7012	175603
192	7057	175788
193	7092	175693
194	7126	175600
195	7156	175403
196	7190	175315
197	7226	175255
198	7266	175308
199	7306	175352
200	7343	175341
201	7386	175446
202	7421	175376
203	7460	175384
204	7495	175322
205	7531	175267
206	7564	175156
207	7595	174981
208	7632	174953
209	7672	175000
210	7723	175303
211	7765	175385
212	7795	175207
213	7832	175174
214	7867	175104
215	7905	175085
216	7941	175045
217	7975	174946
218	8005	174760
219	8036	174613
220	8070	174516
221	8102	174395
222	8141	174404
223	8180	174425
224	8210	174234
225	8243	174131
226	8274	173982
227	8305	173824
228	8338	173730
229	8372	173635
230	8410	173641
231	8441	173477
232	8473	173371
233	8503	173193
234	8536	173100
235	8569	172983
236	8607	172986
237	8642	172915
238	8673	172779
239	8706	172677
240	8735	172504
241	8768	172391
242	8798	172245
243	8832	172155
244	8867	172094
245	8899	171991
246	8930	171853
247	8967	171829
248	8998	171690
249	9030	171583
250	9065	171514
251	9099	171452
252	9133	171368
253	9173	171415
254	9217	171518
255	9266	171726
256	9325	172111
257	9382	172445
258	9416	172374
259	9450	172296
260	9484	172204
261	9531	172361
262	9569	172361
263	9604	172297
264	9640	172248
265	9676	172218
266	9714	172206
267	9761	172356
268	9809	172528
269	9851	172580
270	9897	172705
271	9937	172741
272	9984	172879
273	10018	172794
274	10049	172674
275	10080	172545
276	10111	172400
277	10143	172291
278	10180	172258
279	10217	172234
280	10253	172195
281	10289	172143
282	10308	171812
283	10339	171694
284	10380	171727
285	10414	171653
286	10450	171609
287	10513	172012
288	10551	171994
289	10601	172187
290	10653	172402
291	10699	172515
292	10742	172578
293	10782	172600
294	10824	172643
295	10858	172554
296	10896	172546
297	10933	172509
298	10975	172557
299	11015	172572
300	11054	172576
301	11098	172647
302	11134	172610
303	11172	172582
304	11212	172596
305	11250	172588
306	11293	172642
307	11328	172578
308	11361	172483
309	11396	172423
310	11429	172326
311	11462	172228
312	11496	172157
313	11532	172103
314	11566	172035
315	11603	171998
316	11635	171889
317	11669	171813
318	11704	171750
319	11737	171658
320	11775	171637
321	11806	171520
322	11840	171454
323	11875	171387
324	11908	171296
325	11945	171263
326	11989	171329
327	12027	171319
328	12063	171274
329	12096	171176
330	12127	171064
331	12166	171059
332	12202	171012
333	12235	170929
334	12268	170842
335	12301	170754
336	12334	170669
337	12372	170648
338	12408	170614
339	12444	170557
340	12477	170478
341	12513	170434
342	12549	170393
343	12591	170422
344	12625	170357
345	12659	170276
346	12689	170162
347	12728	170148
348	12764	170104
349	12802	170096
350	12841	170080
351	12873	169989
352	12909	169943
353	12944	169881
354	12978	169822
355	13018	169824
356	13056	169808
357	13092	169764
358	13124	169672
359	13156	169576
360	13192	169529
361	13230	169513
362	13265	169453
363	13298	169372
364	13327	169237
365	13358	169135
366	13389	169027
367	13424	168971
368	13459	168914
369	13489	168805
370	13524	168742
371	13556	168655
372	13586	168541
373	13591	168111
374	13622	168005
375	13656	167944
376	13691	167892
377	13723	167800
378	13753	167695
379	13787	167630
380	13819	167536
381	13849	167424
382	13881	167334
383	13922	167357
384	13954	167266
385	13987	167202
386	14022	167152
387	14056	167087
388	14092	167039
389	14132	167050
390	14166	166985
391	14197	166897
392	14229	166801
393	14261	166717
394	14294	166648
395	14329	166603
396	14367	166578
397	14400	166512
398	14433	166436
399	14463	166329
400	14495	166248
401	14535	166248
402	14569	166189
403	14599	166085
404	14629	165987
405	14660	165890
406	14693	165813
407	14729	165783
408	14765	165746
409	14797	165662
410	14826	165545
411	14857	165450
412	14888	165359
413	14919	165272
414	14953	165213
415	14992	165205
416	15024	165123
417	15055	165030
418	15086	164948
419	15116	164845
420	15148	164758
421	15185	164741
422	15221	164704
423	15254	164630
424	15285	164548
425	15319	164490
426	15350	164397
427	15384	164335
428	15418	164286
429	15455	164256
430	15486	164173
431	15516	164077
432	15548	163995
433	15583	163953
434	15615	163870
435	15648	163802
436	15685	163784
437	15716	163700
438	15749	163629
439	15780	163542
440	15811	163452
441	15843	163382
442	15879	163344
443	15913	163296
444	15947	163235
445	15979	163164
446	16011	163088
447	16043	163016
448	16074	162928
449	16109	162879
450	16145	162846
451	16187	162882
452	16228	162892
453	16260	162815
454	16291	162736
455	16323	162663
456	16360	162633
457	16394	162580
458	16426	162509
459	16456	162422
460	16491	162371
461	16524	162312
462	16560	162277
463	16597	162254
464	16628	162175
465	16659	162090
466	16692	162029
467	16723	161941
468	16757	161892
469	16790	161834
470	16822	161759
471	16857	161713
472	16887	161631
473	16918	161546
474	16952	161493
475	16989	161471
476	17021	161397
477	17054	161341
478	17086	161265
479	17118	161203
480	17150	161129
481	17184	161078
482	17213	160976
483	17234	160808
484	17255	160639
485	17277	160472
486	17301	160336
487	17332	160257
488	17363	160173
489	17392	160079
490	17423	160002
491	17458	159969
492	17491	159902
493	17519	159802
494	17549	159719
495	17584	159674
496	17615	159603
497	17648	159541
498	17683	159504
499	17715	159437
500	17745	159351
501	17776	159279
502	17808	159212
503	17839	159141
504	17872	159083
505	17909	159064
506	17942	159006
507	17974	158940
508	18004	158855
509	18033	158766
510	18065	158698
511	18097	158637
512	18134	158614
513	18164	158533
514	18199	158491
515	18234	158452
516	18267	158402
517	18300	158347
518	18334	158299
519	18367	158242
520	18400	158188
521	18432	158122
522	18461	158037
523	18494	157979
524	18525	157909
525	18557	157847
526	18592	157806
527	18621	157716
528	18651	157636
529	18682	157567
530	18715	157509
531	18746	157443
532	18779	157391
533	18811	157322
534	18841	157245
535	18871	157165
536	18903	157104
537	18932	157019
538	18964	156957
539	19002	156943
540	19031	156864
541	19062	156793
542	19093	156719
543	19122	156634
544	19157	156596
545	19190	156549
546	19222	156485
547	19246	156360
548	19266	156204
549	19288	156063
550	19308	155903
551	19328	155752
552	19354	155639
553	19385	155574
554	19418	155522
555	19448	155449
556	19480	155390
557	19513	155335
558	19545	155276
559	19574	155201
560	19608	155157
561	19641	155103
562	19677	155074
563	19711	155036
564	19741	154963
565	19773	154904
566	19808	154872
567	19838	154796
568	19872	154754
569	19915	154782
570	19955	154783
571	19987	154729
572	20020	154676
573	20051	154615
574	20086	154580
575	20128	154601
576	20166	154584
577	20203	154566
578	20236	154520
579	20271	154485
580	20309	154469
581	20350	154480
582	20394	154515
583	20433	154508
584	20474	154519
585	20507	154472
586	20547	154475
587	20582	154436
588	20615	154386
589	20649	154342
590	20678	154264
591	20709	154199
592	20739	154133
593	20774	154096
594	20810	154064
595	20844	154028
596	20878	153980
597	20911	153935
598	20945	153891
599	20976	153825
600	21016	153827
601	21052	153802
602	21083	153736
603	21115	153681
604	21149	153638
605	21178	153563
606	21216	153549
607	21251	153510
608	21282	153448
609	21314	153395
610	21346	153340
611	21377	153272
612	21412	153237
613	21446	153197
614	21481	153166
615	21514	153117
616	21549	153080
617	21587	153070
618	21661	153307
619	21742	153601
620	21780	153583
621	21828	153641
622	21861	153591
623	21893	153534
624	21929	153506
625	21963	153462
626	21995	153404
627	22027	153347
628	22058	153288
629	22089	153221
630	22122	153177
631	22156	153134
632	22188	153073
633	22222	153032
634	22252	152965
635	22280	152883
636	22312	152824
637	22348	152794
638	22384	152769
639	22433	152830
640	22469	152799
641	22503	152756
642	22535	152704
643	22573	152689
644	22607	152646
645	22646	152634
646	22677	152572
647	22707	152504
648	22742	152468
649	22776	152424
650	22814	152411
651	22854	152412
652	22886	152352
653	22915	152281
654	22949	152238
655	22979	152168
656	23011	152112
657	23045	152075
658	23079	152030
659	23116	152009
660	23150	151966
661	23185	151928
662	23218	151883
663	23258	151881
664	23288	151811
665	23320	151757
666	23355	151720
667	23389	151682
668	23425	151651
669	23461	151625
670	23492	151563
671	23522	151498
672	23554	151442
673	23585	151379
674	23618	151336
675	23654	151301
676	23685	151243
677	23717	151188
678	23749	151138
679	23781	151081
680	23811	151017
681	23846	150979
682	23883	150959
683	23914	150898
684	23947	150851
685	23979	150797
686	24011	150742
687	24044	150694
688	24076	150647
689	24111	150607
690	24142	150550
691	24175	150501
692	24206	150441
693	24236	150380
694	24270	150336
695	24306	150310
696	24345	150296
697	24376	150242
698	24409	150191
699	24442	150145
700	24479	150122
701	24511	150070
702	24544	150024
703	24579	149988
704	24612	149942
705	24642	149878
706	24671	149811
707	24702	149751
708	24734	149695
709	24769	149662
710	24802	149617
711	24836	149578
712	24871	149542
713	24902	149482
714	24934	149432
715	24967	149389
716	25005	149372
717	25035	149307
718	25071	149278
719	25106	149245
720	25139	149196
721	25175	149172
722	25209	149128
723	25239	149067
724	25270	149008
725	25302	148959
726	25333	148900
727	25368	148866
728	25409	148867
729	25439	148805
730	25471	148750
731	25502	148696
732	25533	148638
733	25564	148577
734	25598	148541
735	25635	148516
736	25667	148467
737	25700	148419
738	25730	148357
739	25760	148296
740	25796	148268
741	25827	148211
742	25861	148172
743	25896	148137
744	25927	148079
745	25957	148019
746	25992	147984
747	26021	147920
748	26053	147868
749	26089	147838
750	26119	147779
751	26149	147719
752	26186	147691
753	26215	147625
754	26244	147558
755	26275	147501
756	26309	147466
757	26340	147409
758	26370	147345
759	26401	147294
760	26433	147240
761	26463	147180
762	26503	147174
763	26536	147133
764	26570	147091
765	26606	147063
766	26635	147000
767	26665	146939
768	26699	146899
769	26732	146856
770	26772	146848
771	26808	146821
772	26839	146767
773	26871	146716
774	26903	146665
775	26933	146607
776	26969	146577
777	27004	146544
778	27037	146504
779	27070	146458
780	27102	146411
781	27118	146274
782	27154	146243
783	27189	146215
784	27224	146179
785	27255	146127
786	27288	146080
787	27320	146030
788	27351	145978
789	27382	145926
790	27419	145903
791	27456	145879
792	27488	145833
793	27522	145790
794	27552	145736
795	27584	145684
796	27617	145641
797	27650	145599
798	27684	145561
799	27717	145515
800	27748	145463
801	27779	145410
802	27814	145375
803	27847	145331
804	27879	145284
805	27910	145233
806	27942	145183
807	27972	145126
